name;nb_advices;note;style
La Maree;12486 avis;8.7;Francais
Le Tizi;132 avis;8.2;Calabrese
Chez Bibi;1006 avis;8.2;Francais
Au Petit Marguery Rive Droite;2937 avis;8.5;Francais
My Boat;0;0.0;Francais
Chez Francoise;7807 avis;8.6;Francais
Cafe des Peupliers;3 avis;9.5;Francais
L'Entree des Artistes;2408 avis;8.3;Francais
Guo Min;0;0.0;Chinois
Il Castello;3 avis;9.8;Piemontese
Le Petit Pasteur;112 avis;7.6;Francais
Au Petit Marguery Rive Gauche;2916 avis;8.9;Francais
Le Buisson Ardent;4775 avis;9.0;Francais
Restaurant Athenais;414 avis;8.6;Grec
Carre des Ternes;0;0.0;Francais
Zafran;1698 avis;8.5;Indien
Casa Paco;134 avis;9.4;Cuisine contemporaine
Zerda Cafe Paris 17;145 avis;8.3;Oriental
Restaurant Pharamond;5885 avis;8.5;Francais
Chez Frezet;2604 avis;9.1;Francais
Sagar Matha;145 avis;8.7;Indien
Paris en Scene;1042 avis;7.1;Francais
Le Caroubier;2001 avis;9.0;Francais
Le Diamant de Paris;4617 avis;8.8;Francais
L'Affineur Affine;0;0.0;Francais
Au Gout du Monde;0;0.0;
Le Montebello;192 avis;7.1;Francais
La Petite Bretagne Brasserie;0;0.0;
Le Bien Decide;367 avis;8.9;Francais
La Bastide Odeon;2395 avis;8.4;Mediterraneen
Les Vignes du Liban;3540 avis;8.8;Libanais
Au Doux Raisin;1731 avis;8.5;Francais
Le Lion Indomptable;11 avis;5.8;Africain
Le Maharajah;1018 avis;8.6;Indien
Les Cedres du Liban;303 avis;8.5;Libanais
Le Viaduc Cafe;112 avis;8.2;Francais
Millesimes 62;3351 avis;8.5;Francais
Jaipur Cafe;8281 avis;8.8;Indien
Les Passagers de Beyrouth;885 avis;9.2;Libanais